Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
1840,"PRZEDSZKOLE NIEPUBLICZNE ""AKADEMIA MAŁYCH ARTYSTÓW",Przedszkole,Unused,Unclassified,Ursynów,ul. Braci Wagów,1,,02-791,21.051841103874626,52.13887695,niepubliczna,16.0,,,
1841,"NIEPUBLICZNE PRZEDSZKOLE ""NASZE PRZEDSZKOLE",Przedszkole,Unused,Unclassified,Ursynów,ul. Migdałowa,10,u10,02-796,21.055846434295322,52.14457115,niepubliczna,33.0,,,
1842,PRZEDSZKOLE INTEGRACYJNE NR 394,Przedszkole,Unused,Unclassified,Ursynów,ul. Leonida Teligi,1,,02-777,21.04826731378556,52.15336735,publiczna,90.0,,,
1843,PRZEDSZKOLE MONTESSORI EWA I ANDRZEJ BOCHEŃSCY,Przedszkole,Unused,Unclassified,Ursynów,ul. Stanisława Kulczyńskiego,16,,02-777,21.052464445522943,52.1491677,niepubliczna,27.0,,,
1844,"INTERNATIONAL AMERICAN SCHOOL SP. Z O.O. LICEUM OGÓLNOKSZTAŁCĄCE NIEPUBLICZNE NR 72 ""IAS",Liceum ogólnokształcące,Ordinary,Middle,Ursynów,ul. Stefana Dembego,18,,02-796,21.073294443614078,52.13283255,niepubliczna,93.0,,,
1845,SZKOŁA PODSTAWOWA NR 323 IM. POLSKICH OLIMPIJCZYKÓW,Szkoła podstawowa,Ordinary,Elementary,Ursynów,ul. Ludwika Hirszfelda,11,,02-776,21.040498185255906,52.144085,publiczna,1096.0,,,
1846,INSTYTUT KSZTAŁCENIA USTAWICZNEGO FUNDACJI IM. STANISŁAWA KONARSKIEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,al. Aleja Komisji Edukacji Narodowej,101,,02-784,21.029760874184547,52.15815445,niepubliczna,,,,
1847,HANCZEZ H. BRZEŹNIAK,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,ul. Xawerego Dunikowskiego,6,60,02-784,21.02732477706482,52.15340545,niepubliczna,,,,
1849,PRYWATNA SZKOŁA PODSTAWOWA ACTIVE SCHOOL,Szkoła podstawowa,Ordinary,Elementary,Ursynów,ul. Wąwozowa,18,13181920,02-796,21.064579667718426,52.13184105,niepubliczna,43.0,,,
1850,PRZEDSZKOLE NR 352,Przedszkole,Unused,Unclassified,Ursynów,ul. Leonida Teligi,3,,02-777,21.047008454783843,52.15242290000001,publiczna,293.0,,,
1851,NIEPUBLICZNE PRZEDSZKOLE SZKOŁY GŁÓWNEJ GOSPODARSTWA WIEJSKIEGO,Przedszkole,Unused,Unclassified,Ursynów,ul. Nowoursynowska,161G,,02-787,21.0411269115838,52.1637009,niepubliczna,38.0,,,
1852,"NIEPUBLICZNE PRZEDSZKOLE ""ANIOŁOWO",Przedszkole,Unused,Unclassified,Ursynów,ul. Rumby,4,,02-830,21.013175594762973,52.14294795,niepubliczna,0.0,,,
1853,ACCADEMIA DEI PICCOLI,Przedszkole,Unused,Unclassified,Ursynów,ul. Ekologiczna,4,,02-798,21.06204802397391,52.1300904,niepubliczna,31.0,,,
1854,"INTEGRACYJNE PRZEDSZKOLE NIEPUBLICZNE ""PLUSZOWA AKADEMIA",Przedszkole,Unused,Unclassified,Ursynów,ul. Dereniowa,52,54,02-776,21.03974093895745,52.14980065,niepubliczna,61.0,,,
1855,SZKOŁA PODSTAWOWA NR 100 IM. PŁK. FRANCESCO NULLO,Szkoła podstawowa,Ordinary,Elementary,Ursynów,ul. Taneczna,54/58,,02-829,21.016279135192626,52.14652879999999,publiczna,648.0,,,
1857,PRZEDSZKOLE NR 400,Przedszkole,Unused,Unclassified,Ursynów,ul. Eugeniusza Lokajskiego,2,,02-793,21.065863199999995,52.13871955000001,publiczna,127.0,,,
1858,"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA FUNDACJI ""PRIMUS",Liceum ogólnokształcące,Ordinary,Middle,Ursynów,ul. płk. Zoltána Baló,1,,02-793,21.06090226355364,52.13285190000001,niepubliczna,182.0,,,
1861,PRZEDSZKOLE NIEPUBLICZNE P.W. ANIOŁÓW STRÓŻÓW,Przedszkole,Unused,Unclassified,Ursynów,ul. Nowoursynowska,143G,,02-776,21.059341729510955,52.15148720000001,niepubliczna,27.0,,,
1862,NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO STILL ACADEMY OF OSTEOPATHY W WARSZAWIE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,ul. Franciszka Marii Lanciego,11,73,02-792,21.057061,52.1444573,niepubliczna,,,,
1863,OŚRODEK SZKOLENIOWY AGVO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,ul. Puławska,561,,02-844,21.019642580724007,52.12064150000001,niepubliczna,,,,
1864,"PRZEDSZKOLE NR 201 ""MISIA URSYNKA",Przedszkole,Unused,Unclassified,Ursynów,ul. Wilczy Dół,4,,02-798,21.058218648083404,52.12852135,publiczna,169.0,,,
1865,FINEZJA CENTRUM KSZTAŁCENIA FLORYSTYCZNEGO I RĘKODZIAŁA ARTYSTYCZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,ul. Wawrzyńca Surowieckiego,10,,02-785,21.02027464818431,52.1588174,niepubliczna,,,,
1866,"PUBLICZNE PRZEDSZKOLE ""ALI I ASA"" IM. MARKA GRECHUTY",Przedszkole,Unused,Unclassified,Ursynów,ul. Ludwinowska,49,,02-856,21.007367108984248,52.13445820000001,publiczna,64.0,,,
1867,NIEPUBLICZNE PRZEDSZKOLE TWÓRCZEGO ROZWOJU ACTIVE KIDS,Przedszkole,Unused,Unclassified,Ursynów,al. Aleja Komisji Edukacji Narodowej,20,U3,02-797,21.0654519,52.13232070000001,niepubliczna,59.0,,,
1868,WARSZAWSKIE CENTRUM STRZELECKIE SP. Z O.O.,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,ul. Migdałowa,4,,02-796,21.0577647,52.1473634,niepubliczna,,,,
1869,PCSN - PRYWATNE CENTRUM SZKOLEŃ I NAUCZANIA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Ursynów,ul. Sarabandy,16/22,,02-868,21.01436013489884,52.11349675,niepubliczna,,,,
1871,PUNKT PRZEDSZKOLNY PLUSZOWY DOMEK 2,Punkt przedszkolny,Unused,Unclassified,Ursynów,ul. Ferdynanda Magellana,11,61,02-777,21.043041604425877,52.15504605,niepubliczna,10.0,,,
1872,PRZEDSZKOLE NR 395 IM. BARBARY LEWANDOWSKIEJ,Przedszkole,Unused,Unclassified,Ursynów,ul. Na Uboczu,9,,02-791,21.048886343490985,52.13953785,publiczna,264.0,,,
1873,"NIEPUBLICZNE PRZEDSZKOLE ""JACEK I AGATKA",Przedszkole,Unused,Unclassified,Ursynów,ul. Pod Lipą,4,,02-798,21.062155205903228,52.1280271,niepubliczna,15.0,,,
1874,"NIEPUBLICZNE PRZEDSZKOLE POLSKO-ANGIELSKIE ""BUZZY BEE",Przedszkole,Unused,Unclassified,Ursynów,ul. Żołny,16,,02-815,21.03083435320732,52.13761455,niepubliczna,47.0,,,
1875,SPOŁECZNE LICEUM OGÓLNOKSZTAŁCĄCE NR 1 IM. JANA NOWAKA-JEZIORAŃSKIEGO SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,Liceum ogólnokształcące,Ordinary,Middle,Ursynów,ul. Polinezyjska,10a,,02-777,21.045327850000007,52.1521036,niepubliczna,68.0,,,
1876,"PUBLICZNY PUNKT PRZEDSZKOLNY ""NASZE SZKRABY",Punkt przedszkolny,Unused,Unclassified,Ursynów,ul. Aleksandra Janowskiego,13,U4,02-784,21.01998973396721,52.15500255,publiczna,0.0,,,
1877,SZKOŁA PODSTAWOWA IM. SAMUELA BOGUMIŁA LINDEGO,Szkoła podstawowa,Ordinary,Elementary,Ursynów,ul. Jana Rosoła,10,,02-786,21.076580076382424,52.13422015,niepubliczna,343.0,,,
1879,PRZEDSZKOLE NIEPUBLICZNE TYGRYSEK I PRZYJACIELE,Przedszkole,Unused,Unclassified,Ursynów,ul. Dezyderego Adama Chłapowskiego,1,,02-787,21.0398667,52.1644416,niepubliczna,29.0,,,
1880,PRZEDSZKOLE LITTLE ACADEMY PRESCHOOL,Przedszkole,Unused,Unclassified,Ursynów,ul. Wąwozowa,28,2U3U4UB,02-972,21.05997526197756,52.1317628,niepubliczna,0.0,,,
1881,NIEPUBLICZNY TERAPUETYCZNY PUNKT PRZEDSZKOLNY ŚWIATA CIEKAWI,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Kościuszkowców,73B,,04-545,21.157492334490293,52.23367275,niepubliczna,0.0,,,
1882,"PRZEDSZKOLE NR 84 ""PROMYK",Przedszkole,Unused,Unclassified,Wawer,ul. Dworcowa,1,,04-714,21.171444468365387,52.20410585000001,publiczna,172.0,,,
1884,"INTEGRACYJNE PRZEDSZKOLE NIEPUBLICZNE ""KLUB CIASTUSIA",Przedszkole,Unused,Unclassified,Wawer,ul. Wilgi,31,,04-831,21.19758573609916,52.18571370000001,niepubliczna,20.0,,,
1885,INCOLT EURO SZKOLENIA SPECJALISTYCZNE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Korkowa,167,,04-549,21.16206924125169,52.2419015,niepubliczna,,,,
1886,LICEUM OGÓLNOKSZTAŁCĄCE TE VIZJA Z ODDZIAŁAMI DWUJĘZYCZNYMI,Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Patriotów,148,,04-839,21.192361435171076,52.18176955,niepubliczna,0.0,,,
1887,"PRZEDSZKOLE NIEPUBLICZNE ""POD POZIOMKĄ",Przedszkole,Unused,Unclassified,Wawer,ul. Widoczna,61a,,04-647,21.150391262500115,52.22100335,niepubliczna,61.0,,,
1888,PRZEDSZKOLE NIEPUBLICZNE KRASNALKOWO,Przedszkole,Unused,Unclassified,Wawer,ul. Wiązana,20J,,04-680,21.146850233872303,52.202439700000006,niepubliczna,43.0,,,
1889,PUNKT PRZEDSZKOLNY ZIELONE SŁONIE,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Podkowy,42,,04-937,21.2244483,52.1620683,niepubliczna,0.0,,,
1891,SZKOŁA PODSTAWOWA TOWARZYSTWA EDUKACYJNEGO VIZJA,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Patriotów,148,,04-839,21.192361435171076,52.18176955,niepubliczna,166.0,,,
1892,POLSKO-ANGIELSKIE PRZEDSZKOLE KIDSCOLLEGE,Przedszkole,Unused,Unclassified,Wawer,ul. Akwarelowa,22,,04-542,21.14551414358464,52.23052345,niepubliczna,60.0,,,
1894,CHRZEŚCIJAŃSKIE PRZEDSZKOLE SAMUEL,Przedszkole,Unused,Unclassified,Wawer,ul. Mieczysława Pożaryskiego,28,29,04-703,21.17395451072825,52.2071229,niepubliczna,52.0,,,
1895,PRZEDSZKOLE NIEPUBLICZNE SIÓSTR SALEZJANEK IM. DOBREGO PASTERZA W WARSZAWIE,Przedszkole,Unused,Unclassified,Wawer,ul. Gruszy,41,43,04-779,21.16687405000002,52.19826910000001,niepubliczna,71.0,,,
1896,"PRZEDSZKOLE NR 233 ""ZIELONY DOMEK",Przedszkole,Unused,Unclassified,Wawer,ul. Romana Pazińskiego,11a,,04-743,21.173379014016,52.2156171,publiczna,124.0,,,
1897,"SZKOŁA PODSTAWOWA Z ODDZIAŁAMI INTEGRACYJNYMI NR 216 ""KLONOWEGO LIŚCIA",Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Wolna,36/38,,04-908,21.215426865137573,52.17048735,publiczna,426.0,,,
1899,"PRZEDSZKOLE NR 85 ""LEŚNY ZAKĄTEK",Przedszkole,Unused,Unclassified,Wawer,ul. Żegańska,27,,04-736,21.1806419,52.20786920000001,publiczna,91.0,,,
1900,"ŻAGLE"" LICEUM OGÓLNOKSZTAŁCĄCE STOWARZYSZENIA STERNIK",Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Mieczysława Pożaryskiego,28,,04-703,21.17395451072825,52.2071229,niepubliczna,104.0,,,
1901,PUNKT PRZEDSZKOLNY MALEŃSTWO I PRZYJACIELE,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Izbicka,24b,,04-838,21.197426642639016,52.18246305,niepubliczna,17.0,,,
1902,INTEGRACYJNE PRZEDSZKOLE MONTESSORI WAWER,Przedszkole,Unused,Unclassified,Wawer,ul. Zerzeńska,10b,,04-787,21.149060006648146,52.1919244,niepubliczna,38.0,,,
1906,"NIEPUBLICZNE PRZEDSZKOLE ""CALI MALI",Przedszkole,Unused,Unclassified,Wawer,ul. Korkowa,161C,36,04-549,21.158428230333246,52.24157935,niepubliczna,23.0,,,
1907,SZKOŁA PODSTAWOWA SIÓSTR FELICJANEK NR 28 IM. BŁ. MARII ANGELI TRUSZKOWSKIEJ,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Azaliowa,10,,04-539,21.153735455471185,52.23716075,niepubliczna,522.0,,,
1908,ACADEMY INTERNATIONAL WAWER NIEPUBLICZNA SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. 27 Grudnia,52,,04-655,21.142106268229963,52.2258489,niepubliczna,19.0,,,
1909,PRZEDSZKOLE NR 437,Przedszkole,Unused,Unclassified,Wawer,Trakt Lubelski,89,,04-870,21.141411809088485,52.18741051098774,publiczna,125.0,,,
1910,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 86,Przedszkole,Unused,Unclassified,Wawer,ul. Krupnicza,3,,04-719,21.176612883671968,52.202474,publiczna,231.0,,,
1911,"PRYWATNE PRZEDSZKOLE ""PRYMULKA",Przedszkole,Unused,Unclassified,Wawer,ul. Prymulki,33,,04-879,21.177712563495053,52.17998615000001,niepubliczna,22.0,,,
1912,NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. IRINY JÓZEFOWICZ W WARSZAWIE-FALENICY,Szkoła muzyczna I stopnia,Unused,Unclassified,Wawer,ul. Lokalna,33,,04-903,21.211754341710762,52.16844685,niepubliczna,0.0,,,
1913,"PRZEDSZKOLE NR 338 ""SOSNOWA STACYJKA",Przedszkole,Unused,Unclassified,Wawer,ul. Włókiennicza,41,,04-974,21.20666125194407,52.15964725,publiczna,225.0,,,
1914,SZKOŁA PODSTAWOWA NR 86 IM. BRONISŁAWA CZECHA,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Koryncka,33,,04-686,21.1448841,52.2191102,publiczna,638.0,,,
1915,BRITANNIA CENTRUM NAUCZANIA JĘZYKA ANGIELSKIEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Cylichowska,23,C,04-769,21.1455799,52.1951698,niepubliczna,,,,
1916,PRZEDSZKOLE NIEPUBLICZNE ALICJA SZYBIŃSKA,Przedszkole,Unused,Unclassified,Wawer,ul. Lubiana,13a,,04-876,21.17386033169925,52.18536825,niepubliczna,8.0,,,
1917,NIEPUBLICZNA WALDORFSKA SZKOŁA PODSTAWOWA IM. AUGUSTA CIESZKOWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Alpejska,16,,04-628,21.168856587764605,52.21778079999999,niepubliczna,83.0,,,
1918,XXV LICEUM OGÓLNOKSZTAŁCĄCE IM. JÓZEFA WYBICKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Halna,20,,04-961,21.20044467345707,52.16449725,publiczna,585.0,119.95,160.8625,134.08499999999998
1919,PRZEDSZKOLE NIEPUBLICZNE ZGROMADZENIA SŁUŻEBNIC NAJŚWIĘTSZEGO SERCA JEZUSOWEGO (SIÓSTR SERCANEK),Przedszkole,Unused,Unclassified,Wawer,ul. Kresowa,18,,04-206,21.132416600000006,52.2377501,niepubliczna,52.0,,,
1920,NIEPUBLICZNA SZKOŁA MUZYCZNA I STOPNIA BENE MUSICA W WARSZAWIE,Szkoła muzyczna I stopnia,Unused,Unclassified,Wawer,ul. Mieczysława Pożaryskiego,28,6A,04-703,21.17395451072825,52.2071229,niepubliczna,0.0,,,
1921,PUNKT PRZEDSZKOLNY KRASNALKOWO,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Wiązana,22P,,04-680,21.146997904421767,52.20263900000001,niepubliczna,0.0,,,
1922,"STRUMIENIE"" PRZEDSZKOLE STOWARZYSZENIA ""STERNIK",Przedszkole,Unused,Unclassified,Wawer,ul. Lokalna,51,,04-903,21.2170714,52.1695086,niepubliczna,48.0,,,
1923,PRZEDSZKOLE NIEPUBLICZNE MYSZKA MEPI,Przedszkole,Unused,Unclassified,Wawer,ul. Wielostronna,21,,04-856,21.179113362105795,52.18780935,niepubliczna,90.0,,,
1924,"NIEPUBLICZNE PRZEDSZKOLE ""MILUSIN",Przedszkole,Unused,Unclassified,Wawer,ul. Wał Miedzeszyński,131C,,04-987,21.167547819494988,52.15945915,niepubliczna,70.0,,,
1926,SPECJALNE PRZEDSZKOLE TOWARZYSTWA PRZYJACIÓŁ DZIECI IMIENIA LADY SUE RYDER,Przedszkole,Unused,Unclassified,Wawer,ul. Hafciarska,80,86,04-725,21.1909515,52.2169336,niepubliczna,17.0,,,
1927,SZKOŁA PODSTAWOWA NR 124 IM. STANISŁAWA JACHOWICZA,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Bartoszycka,45/47,,04-923,21.222349978811685,52.16414635,publiczna,514.0,,,
1928,PRZEDSZKOLE SIÓSTR FELICJANEK IM. ŚW. FRANCISZKA Z ASYŻU,Przedszkole,Unused,Unclassified,Wawer,ul. Kościuszkowców,85,,04-545,21.157141496322375,52.2361509,niepubliczna,160.0,,,
1930,SZKOŁA PODSTAWOWA NIEPUBLICZNA PRZY FUNDACJI POMOCY LUDZIOM Z NIEPEŁNOSPRAWNOŚCIAMI,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Bronowska,18,,03-995,21.12440894607105,52.2004426,niepubliczna,84.0,,,
1931,PRYWATNA SZKOŁA PODSTAWOWA NR 92,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Patriotów,347,,04-760,21.161856214623803,52.20993875,niepubliczna,404.0,,,
1932,PUNKT PRZEDSZKOLNY LITTLE TIGERS PRZEDSZKOLANDIA,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Strzygłowska,61,,04-872,21.1598477,52.1737182,niepubliczna,0.0,,,
1933,PRYWATNA SZKOŁA PODSTAWOWA NR 63 IMIENIA WISŁAWY SZYMBORSKIEJ W WARSZAWIE,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Wał Miedzeszyński,141,,04-987,21.166557251939487,52.16149035,niepubliczna,145.0,,,
1934,NIEPUBLICZNE PRZEDSZKOLE DOMEK MONTESSORI,Przedszkole,Unused,Unclassified,Wawer,ul. Rzeźbiarska,28,,04-633,21.164295801020984,52.21359965,niepubliczna,39.0,,,
1935,SZKOŁA PODSTAWOWA NR 218 IM. MICHAŁA KAJKI,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Michała Kajki,80/82,,04-621,21.163793887179366,52.2210116,publiczna,639.0,,,
1936,SZKOŁA PODSTAWOWA NR 138 Z ODDZIAŁAMI INTEGRACYJNYMI IM. JÓZEFA HORSTA,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Mieczysława Pożaryskiego,2,,04-703,21.180535974739435,52.20293535,publiczna,418.0,,,
1937,SZKOŁA PODSTAWOWA SPECJALNA NR 244,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Hafciarska,80/86,,04-725,21.1909515,52.2169336,publiczna,97.0,,,
1938,SZKOŁA PODSTAWOWA NR 109 IM. BATALIONÓW CHŁOPSKICH,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Przygodna,2,,03-991,21.1334903,52.1975859,publiczna,733.0,,,
1939,"PRZEDSZKOLE NIEPUBLICZNE MY FIRST ACADEMY TOWARZYSTWA EDUKACYJNEGO ""VIZJA"" W WARSZAWIE",Przedszkole,Unused,Unclassified,Wawer,ul. Patriotów,148,,04-839,21.192361435171076,52.18176955,niepubliczna,28.0,,,
1941,NIEPUBLICZNY PUNKT PRZEDSZKOLNY HAPPY FEET,Punkt przedszkolny,Unused,Unclassified,Wawer,al. Aleja Dzieci Polskich,49,,04-730,21.1992699,52.208622,niepubliczna,0.0,,,
1942,"PUNKT PRZEDSZKOLNY ""KLUB CIASTUSIA",Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Stanisława Orzechowskiego,21A,,04-824,21.198474519817548,52.18273335,niepubliczna,24.0,,,
1943,"NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO CENTRUM SZKOLENIA ""NAFTOR",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Wał Miedzeszyński,630,,03-994,21.099514088411482,52.2167317,niepubliczna,,,,
1944,"PRZEDSZKOLE NIEPUBLICZNE ""DOMISIA",Przedszkole,Unused,Unclassified,Wawer,ul. Tawułkowa,21b,,04-953,21.178176245282188,52.17168665,niepubliczna,28.0,,,
1945,SZKOŁA PODSTAWOWA NR 195 IM. KRÓLA MACIUSIA I,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Króla Maciusia,5,,04-526,21.142921345731388,52.2387119,publiczna,632.0,,,
1947,"OŚRODEK DOKSZTAŁCANIA ZAWODOWEGO ""WALOR",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Patriotów,212,,04-701,21.17900032874016,52.19484545,niepubliczna,,,,
1948,XXVI LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIANA TUWIMA,Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Alpejska,16,,04-628,21.168856587764605,52.21778079999999,publiczna,272.0,,,
1949,BRANŻOWA SZKOŁA I STOPNIA NR 68 W ZAKŁADZIE POPRAWCZYM I SCHRONISKU DLA NIELETNICH W WARSZAWIE FALENICY,Branżowa szkoła I stopnia,Ordinary,Middle,Wawer,ul. Stanisława Jachowicza,4,,04-995,21.204686437593264,52.1529988,publiczna,8.0,,,
1950,SZKOŁA PODSTAWOWA SPECJALNA NR 39,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Trakt Lubelski,40,,04-870,21.15320486914178,52.17695635,publiczna,32.0,,,
1951,SZKOŁA PODSTAWOWA NR 140 IM. KAZIMIERZA JEŻEWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Wilgi,19,,04-831,21.19344356475818,52.18601925,publiczna,445.0,,,
1952,"NIEPUBLICZNE PRZEDSZKOLE ""PRZEDSZKOLE LEŚNE",Przedszkole,Unused,Unclassified,Wawer,ul. Jeziorowa,67T,,03-991,21.1262402,52.19838170000001,niepubliczna,51.0,,,
1953,"ŻAGLE"" SZKOŁA PODSTAWOWA STOWARZYSZENIA STERNIK",Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Mieczysława Pożaryskiego,28,,04-703,21.17395451072825,52.2071229,niepubliczna,385.0,,,
1954,ELEKTRO-ENERGETYKA SZKOLENIA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Ruty,3,,04-785,21.1568246977792,52.18431445,niepubliczna,,,,
1955,NIEPUBLICZNA SZKOŁA MUZYCZNA I ST. SAX-FORT W WARSZAWIE,Szkoła muzyczna I stopnia,Unused,Unclassified,Wawer,ul. Trakt Lubelski,351,33,04-667,21.136313640247124,52.22077555,niepubliczna,0.0,,,
1957,CHRZEŚCIJAŃSKIE LICEUM SAMUEL,Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Mieczysława Pożaryskiego,28,29,04-703,21.17395451072825,52.2071229,niepubliczna,10.0,,,
1958,PUNKT PRZEDSZKOLNY RADOSNE LATA,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Minerska,54,,04-506,21.13402580094121,52.23262975,niepubliczna,72.0,,,
1959,"CENTRUM SZKOLENIOWO-KONFERENCYJNE KZRS ""SCH",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Odrębna,4,,04-867,21.148510156584987,52.17950379999999,niepubliczna,,,,
1960,PUNKT PRZEDSZKOLNY MALEŃSTWO I PRZYJACIELE,Punkt przedszkolny,Unused,Unclassified,Wawer,ul. Stradomska,6,,04-619,21.161821731127787,52.2145235,niepubliczna,25.0,,,
1961,PRZEDSZKOLE NIEPUBLICZNE,Przedszkole,Unused,Unclassified,Wawer,ul. Wiązana,6F,,04-765,21.1467141,52.2007498,niepubliczna,0.0,,,
1962,"CXXIII LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE W INSTYTUCIE ""POMNIK - CENTRUM ZDROWIA DZIECKA",Liceum ogólnokształcące,Ordinary,Middle,Wawer,al. Aleja Dzieci Polskich,20,,04-736,21.18977073089599,52.20515575,publiczna,107.0,,,
1963,KATOLICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ŚW. PAWŁA Z TARSU,Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Poezji,19,,04-994,21.20210102888145,52.1583489,niepubliczna,86.0,,,
1964,SZKOŁA PODSTAWOWA NR 76 IM. 13 DYWIZJI PIECHOTY STRZELCÓW KRESOWYCH,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Poezji,5,,04-994,21.20262424678237,52.1559084,publiczna,537.0,,,
1965,"SZKOŁA PODSTAWOWA SPECJALNA NR 106 W INSTYTUCIE ""POMNIK - CENTRUM ZDROWIA DZIECKA",Szkoła podstawowa,Ordinary,Elementary,Wawer,al. Aleja Dzieci Polskich,20,,04-736,21.18977073089599,52.20515575,publiczna,256.0,,,
1966,"PRZEDSZKOLE NIEPUBLICZNE ""KARUZELA",Przedszkole,Unused,Unclassified,Wawer,ul. Wał Miedzeszyński,420,,03-994,21.12125687073172,52.1981698,niepubliczna,55.0,,,
1967,INTEGRACYJNA PODSTAWOWA SZKOŁA MONTESSORI WAWER,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Zerzeńska,10b,,04-787,21.149060006648146,52.1919244,niepubliczna,46.0,,,
1968,SZKOŁA PODSTAWOWA NR 235 W ZAKŁADZIE POPRAWCZYM I SCHRONISKU DLA NIELETNICH W WARSZAWIE-FALENICY,Szkoła podstawowa,Ordinary,Elementary,Wawer,ul. Stanisława Jachowicza,4,,04-995,21.204686437593264,52.1529988,publiczna,6.0,,,
1969,AKADEMIA TROP,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Wawer,ul. Mieczysława Pożaryskiego,69,,04-634,21.162607309227703,52.21204785000001,niepubliczna,,,,
1972,LXXXV LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE,Liceum ogólnokształcące,Ordinary,Middle,Wawer,ul. Zorzy,17,,04-639,21.16915123249251,52.2169402,publiczna,184.0,,,
1973,"PRZEDSZKOLE NR 107 ""BAJKOWE PRZEDSZKOLE",Przedszkole,Unused,Unclassified,Wawer,ul. Wilgi,29,,04-831,21.19699363464473,52.1859558,publiczna,150.0,,,
1974,NIEPUBLICZNE PRZEDSZKOLE DWUJĘZYCZNE ACADEMY INTERNATIONAL WAWER,Przedszkole,Unused,Unclassified,Wawer,ul. 27 Grudnia,52,,04-665,21.142106268229963,52.2258489,niepubliczna,0.0,,,
