Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
442,"PRZEDSZKOLE NR 97 ""LEŚNA POLANKA",Przedszkole,Unused,Unclassified,Bielany,ul. Twardowska,23,,01-810,20.95033481884899,52.28377855,publiczna,125.0,,,
444,TECHNIKUM NR 25 IM. STANISŁAWA STASZICA,Technikum,Ordinary,Middle,Bielany,ul. Włodzimierza Perzyńskiego,10,,01-883,20.95400074959744,52.2730289,publiczna,575.0,65.96666666666665,131.76666666666668,89.38000000000002
445,"SZKOŁA PODSTAWOWA NR 273 IM. DR. ALEKSANDRA LANDY W WARSZAWIE, SZKOŁA FILIALNA W WARSZAWIE",Szkoła podstawowa,Ordinary,Elementary,Bielany,ul. Arkuszowa,202,,01-934,20.87755701246948,52.2876668,publiczna,260.0,,,
447,"PRZEDSZKOLE NR 287 ""PIOTRUSIA PANA",Przedszkole,Unused,Unclassified,Bielany,ul. Władysława Broniewskiego,81,,01-876,20.946274749061192,52.2703488,publiczna,150.0,,,
448,"NIEPUBLICZNE PRZEDSZKOLE ""RADOŚNI ODKRYWCY",Przedszkole,Unused,Unclassified,Bielany,ul. Estrady,128A,,01-932,20.8830863,52.3021978,niepubliczna,23.0,,,
450,SZKOŁA PODSTAWOWA NR 370,Szkoła podstawowa,Ordinary,Elementary,Bielany,ul. Lwa Tołstoja,2,,01-910,20.9322197,52.2836689,publiczna,204.0,,,
451,"PRZEDSZKOLE NR 49 ""PLUSZOWY MIŚ",Przedszkole,Unused,Unclassified,Bielany,ul. Skalbmierska,12,,01-848,20.94299314187224,52.2815074,publiczna,121.0,,,
452,TECHNIKUM KSIĘGARSKIE IM. STEFANA ŻEROMSKIEGO,Technikum,Ordinary,Middle,Bielany,ul. Stefana Żeromskiego,81,,01-882,20.9395035,52.2771589,publiczna,431.0,70.7,139.53333333333333,99.14333333333332
454,CXLI LICEUM OGÓLNOKSZTAŁCĄCE SPECJALNE,Liceum ogólnokształcące,Ordinary,Middle,Bielany,al. Władysława Stanisława Reymonta,16,,01-842,20.9395642,52.277452,publiczna,46.0,,,
455,LX LICEUM OGÓLNOKSZTAŁCĄCE IM. WOJCIECHA GÓRSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Bielany,ul. Lwa Tołstoja,2,,01-910,20.9322197,52.2836689,publiczna,438.0,93.6,144.38333333333338,111.88
457,SZKOŁA PODSTAWOWA SPECJALNA NR 347 W MŁODZIEŻOWYM OŚRODKU SOCJOTERAPII NR 4 W ZESPOLE PLACÓWEK OPIEKUŃCZO-WYCHOWAWCZYCH,Szkoła podstawowa,Ordinary,Elementary,Bielany,al. Władysława Stanisława Reymonta,16,,01-842,20.9395642,52.277452,publiczna,7.0,,,
458,I LICEUM W CHMURZE,Liceum ogólnokształcące,Ordinary,Middle,Bielany,ul. Zbigniewa Romaszewskiego,23,2,01-874,20.958476065109238,52.2753348,niepubliczna,33.0,,,
459,"PUNKT PRZEDSZKOLNY ""BLISKO-NASZE MIEJSCE NA BIELANACH",Punkt przedszkolny,Unused,Unclassified,Bielany,ul. Chlewińska,18,20,01-695,20.963236006461283,52.27726515,niepubliczna,19.0,,,
460,PRZEDSZKOLE SPECJALNE NR 393,Przedszkole,Unused,Unclassified,Mokotów,ul. Puławska,97,,02-595,21.02513911163412,52.1987336,publiczna,17.0,,,
461,PRZEDSZKOLE NR 148,Przedszkole,Unused,Unclassified,Mokotów,ul. Kazimierzowska,45,,02-572,21.014815346864108,52.20269405,publiczna,71.0,,,
